                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.0846,                 1.0169,                0.95981,                0.66444,                0.70179,                0.73891,                 0.4726,                 1.2368,                  1.356,                 1.0673,              0.0035994,              0.0035994,              0.0035994
                    133,                  1.016,                 0.9098,                0.92994,                0.83612,                0.69347,                0.79529,                0.50337,                  1.152,                 1.2284,                 1.0275,               0.003549,               0.003549,               0.003549
                    134,                 0.9699,                 0.8713,                0.92453,                0.78996,                 0.7006,                0.76704,                0.47866,                 1.1954,                 1.1805,                 1.0248,              0.0034986,              0.0034986,              0.0034986
                    135,                0.99709,                 0.9108,                0.95835,                0.78087,                 0.7619,                0.79754,                0.42374,                 1.2814,                 1.3303,                 1.0614,              0.0034482,              0.0034482,              0.0034482
                    136,                0.98767,                0.89266,                0.93138,                0.86144,                0.78568,                0.78348,                0.48698,                 1.2567,                 1.2434,                 1.1011,              0.0033978,              0.0033978,              0.0033978
                    137,                 1.0358,                 0.9699,                0.95466,                0.69715,                0.69048,                0.74076,                0.46295,                 1.3176,                 1.3211,                 1.0736,              0.0033474,              0.0033474,              0.0033474
                    138,                0.99412,                0.89249,                0.92962,                0.72196,                0.58201,                 0.6765,                0.42525,                 1.4083,                  1.612,                 1.1219,              0.0032971,              0.0032971,              0.0032971
                    139,                 1.0126,                0.91519,                0.92709,                0.86581,                 0.5548,                0.68601,                0.45556,                 1.2999,                   1.64,                 1.1037,              0.0032467,              0.0032467,              0.0032467
                    140,                  1.016,                 0.9065,                0.94147,                0.66899,                0.60714,                 0.6712,                0.46675,                 1.2313,                 1.5988,                 1.0872,              0.0031963,              0.0031963,              0.0031963
                    141,                0.97582,                0.91805,                0.92843,                0.58336,                0.66667,                0.68682,                0.46277,                 1.2876,                 1.5817,                  1.096,              0.0031459,              0.0031459,              0.0031459
                    142,                 1.0054,                0.93378,                0.93977,                0.64799,                0.71429,                0.72371,                0.51727,                 1.1868,                 1.3794,                 1.0398,              0.0030955,              0.0030955,              0.0030955
                    143,                 0.9795,                 0.9121,                0.93075,                0.67869,                 0.7118,                0.77497,                0.54115,                 1.1453,                 1.3032,                 1.0138,              0.0030451,              0.0030451,              0.0030451
                    144,                0.99771,                0.94779,                 0.9437,                0.70326,                0.80952,                0.81661,                0.51307,                 1.1839,                 1.2358,                0.99574,              0.0029947,              0.0029947,              0.0029947
                    145,                 1.0105,                 1.0359,                0.94502,                 0.7253,                 0.7873,                0.79304,                 0.4926,                 1.1986,                 1.2863,                0.99112,              0.0029443,              0.0029443,              0.0029443
                    146,                 0.9554,                0.85971,                0.92002,                0.70609,                0.70238,                0.75232,                0.48723,                 1.1962,                  1.342,                 1.0155,               0.002894,               0.002894,               0.002894
                    147,                0.96619,                 0.8834,                0.96707,                0.68227,                0.77381,                0.75701,                0.47917,                 1.2259,                 1.4449,                  1.044,              0.0028436,              0.0028436,              0.0028436
                    148,                 1.0318,                0.92565,                0.93693,                0.71426,                0.71759,                0.80329,                 0.5126,                  1.279,                 1.4708,                 1.0327,              0.0027932,              0.0027932,              0.0027932
                    149,                0.98063,                0.90209,                 0.9356,                0.77019,                0.75148,                0.82804,                 0.5687,                  1.226,                 1.3707,                  1.007,              0.0027428,              0.0027428,              0.0027428
                    150,                0.95372,                0.88068,                0.92033,                0.94638,                0.70238,                 0.8268,                0.57417,                 1.1604,                 1.2989,                 1.0035,              0.0026924,              0.0026924,              0.0026924
